"filename", "language", "JavaScript", "vue", "C#", "JSON", "XML", "JSON with Comments", "HTML", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\pharmacy\frontend\pharmacy-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\pharmacy\frontend\pharmacy-frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\pharmacy\frontend\pharmacy-frontend\package-lock.json", "JSON", 0, 0, 0, 3155, 0, 0, 0, 0, 0, 0, 1, 3156
"d:\pharmacy\frontend\pharmacy-frontend\package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"d:\pharmacy\frontend\pharmacy-frontend\public\assets\Basket.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\pharmacy\frontend\pharmacy-frontend\public\assets\Cart.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\pharmacy\frontend\pharmacy-frontend\public\assets\FilterLeft.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\pharmacy\frontend\pharmacy-frontend\public\assets\Heart.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\pharmacy\frontend\pharmacy-frontend\public\assets\HeartEmpty.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\pharmacy\frontend\pharmacy-frontend\public\assets\Phone.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\pharmacy\frontend\pharmacy-frontend\public\assets\User.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\pharmacy\frontend\pharmacy-frontend\src\App.vue", "vue", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\pharmacy\frontend\pharmacy-frontend\src\api\api.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\pharmacy\frontend\pharmacy-frontend\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 269, 0, 45, 314
"d:\pharmacy\frontend\pharmacy-frontend\src\components\AppPagination.vue", "vue", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 13, 112
"d:\pharmacy\frontend\pharmacy-frontend\src\components\CartItem.vue", "vue", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 34, 226
"d:\pharmacy\frontend\pharmacy-frontend\src\components\Header.vue", "vue", 0, 459, 0, 0, 0, 0, 0, 0, 0, 0, 70, 529
"d:\pharmacy\frontend\pharmacy-frontend\src\components\OrderItemCard.vue", "vue", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 46, 308
"d:\pharmacy\frontend\pharmacy-frontend\src\components\PharmacyCard.vue", "vue", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 21, 130
"d:\pharmacy\frontend\pharmacy-frontend\src\components\PharmacyItem.vue", "vue", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 23, 150
"d:\pharmacy\frontend\pharmacy-frontend\src\components\PharmacyModal.vue", "vue", 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 45, 299
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ProductCard.vue", "vue", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 43, 313
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ProductList.vue", "vue", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 14, 91
